L -34.6545, -594.9713, -155.8850,  353.3128, -772.2153, -155.8850,  255, 0, 255
L 75.6305, -461.5360, -155.2099,  516.7712, -636.3282, -155.2099,  255, 0, 255
L 333.6190, 151.4228, -155.9978,  566.5600, 151.4228, -155.9978,  255, 0, 255
L 154.4056, -61.2699, -156.4738,  558.1281, -61.2699, -156.4738,  255, 0, 255
L 331.6496, 362.1462, -153.7830,  560.9750, 362.1462, -153.7830,  255, 0, 255
L 233.7769, 457.5579, -145.6185,  547.9814, 636.8913, -145.6185,  255, 0, 255
L 236.2094, -458.3756, 0.0000,  535.2440, -500.7364, -147.9738,  255, 0, 255
L 332.5624, -147.7304, 0.0000,  558.2115, -147.7304, -147.9447,  255, 0, 255
L -32.8004, -808.9633, -144.7460,  247.8472, -950.4664, -144.7460,  255, 0, 255
L -35.3500, 594.9782, 0.0000,  346.0000, 974.0000, -139.0000,  255, 0, 255
L -37.3641, 808.3623, -144.7452,  179.5688, 1078.5054, -144.7452,  255, 0, 255
L -133.3197, -908.1570, -140.5182,  48.5636, -1084.8948, -140.5182,  255, 0, 255
L -1221.4281, -766.5122, 0.0000,  -1525.6602, -850.2350, -156.1280,  255, 0, 255
L -442.8258, 904.5265, 0.0000,  -442.8258, 1199.6283, -140.3900,  255, 0, 255
L -1230.6421, 907.1612, 0.0000,  -1704.9128, 1052.7737, -136.4523,  255, 0, 255
L -882.9994, -905.6571, 0.0000,  -959.6470, -1087.2532, -140.5458,  255, 0, 255
L 331.2350, -363.3503, 0.0000,  565.9361, -363.3503, -145.1399,  255, 0, 255
L -129.4584, 906.5960, -144.7452,  -4.6196, 1184.9254, -144.7452,  255, 0, 255
L -474.9981, -906.8365, -146.1310,  -395.9923, -1084.8948, -146.1310,  255, 0, 255
L -885.4782, 907.1612, -146.1125,  -1025.1248, 1233.8812, -146.1125,  255, 0, 255
L -1228.5032, -905.6571, -146.1131,  -1408.9199, -1083.7155, -146.1131,  255, 0, 255
L -1417.7155, 380.1940, -126.9971,  -1789.2273, 551.4583, -126.9971,  255, 0, 255
L -1454.6031, -349.6557, -121.1508,  -1781.3230, -497.2067, -121.1508,  255, 0, 255
L -1230.6421, 743.8015, -150.4233,  -1712.8170, 841.2903, -150.4233,  255, 0, 255
L 76.4907, 458.5572, -148.4567,  479.6206, 812.2842, -148.4567,  255, 0, 255
L -1529.4030, 54.5700, -127.8936,  -1529.4030, 54.5700, -127.8936,  0, 0, 0
L 173.1117, -69.9920, -160.9978,  173.1613, -75.2604, -160.9978,  64, 64, 64
L 142.5963, -75.3332, -160.9978,  173.1613, -75.2604, -160.9978,  64, 64, 64
L 142.5132, -69.9715, -160.9978,  142.5963, -75.3332, -160.9978,  64, 64, 64
L 173.1220, -50.3149, -160.9978,  173.5158, -44.8633, -160.9978,  64, 64, 64
L 173.1160, -49.8370, -160.9978,  173.1160, -49.8369, -160.9978,  0, 0, 0
L 142.5575, -44.9909, -160.9978,  173.5158, -44.8633, -160.9978,  64, 64, 64
L 142.5175, -50.1891, -160.9978,  142.5575, -44.9909, -160.9978,  64, 64, 64
L 145.1006, -50.2259, -156.8613,  145.1160, -47.4326, -156.8613,  64, 64, 64
L 137.5780, -50.1191, -160.9978,  145.1006, -50.2259, -156.8613,  64, 64, 64
L 137.5492, -70.2240, -160.9978,  137.5780, -50.1191, -160.9978,  64, 64, 64
L 145.4770, -69.9454, -156.8613,  137.5492, -70.2240, -160.9978,  64, 64, 64
L 145.1160, -72.8369, -156.8613,  145.4770, -69.9454, -156.8613,  64, 64, 64
L 170.5201, -72.8366, -156.8613,  145.1160, -72.8369, -156.8613,  64, 64, 64
L 170.5575, -69.9916, -156.8613,  170.5201, -72.8366, -156.8613,  64, 64, 64
L 178.2331, -69.9925, -160.9978,  170.5575, -69.9916, -156.8613,  64, 64, 64
L 178.2187, -50.3652, -160.9978,  178.2331, -69.9925, -160.9978,  64, 64, 64
L 170.5643, -50.2897, -156.8613,  178.2187, -50.3652, -160.9978,  64, 64, 64
L 170.5201, -47.4326, -156.8613,  170.5643, -50.2897, -156.8613,  64, 64, 64
L 145.1160, -47.4326, -156.8613,  170.5201, -47.4326, -156.8613,  64, 64, 64
L 142.5200, -49.8370, -160.9978,  142.5200, -49.8370, -160.9978,  0, 0, 0
L -1241.3070, 755.6897, -156.9970,  -1244.9628, 757.2105, -160.9978,  100, 100, 100
L -1241.1083, 758.3591, -156.9970,  -1241.3070, 755.6897, -156.9970,  100, 100, 100
L -1216.6482, 755.6390, -156.9970,  -1212.6627, 757.1422, -160.9978,  100, 100, 100
L -1216.8914, 758.3591, -156.9970,  -1216.6482, 755.6390, -156.9970,  100, 100, 100
L -1241.1083, 758.3591, -156.9970,  -1216.8914, 758.3591, -156.9970,  100, 100, 100
L -1216.7318, 736.7595, -156.9970,  -1213.1083, 735.3586, -160.9978,  100, 100, 100
L -1216.8914, 734.1425, -156.9970,  -1216.7318, 736.7595, -156.9970,  100, 100, 100
L -1241.7290, 737.1353, -156.9970,  -1244.8939, 735.2223, -160.9970,  100, 100, 100
L -1241.1083, 734.1425, -156.9970,  -1241.7290, 737.1353, -156.9970,  100, 100, 100
L -1216.8914, 734.1425, -156.9970,  -1241.1083, 734.1425, -156.9970,  100, 100, 100
L -1244.8914, 735.3591, -160.9978,  -1244.8351, 730.3596, -160.9978,  100, 100, 100
